,genre,body_text_clean
24,Rap,drake scorpion 14mar go yeah yesterday morn crazi come term fact mayb shit stone seal sign lover like billi jean kid mine sandi use tell take one time took one time shit met two time two time time nothin like new time rough time im front line tryin make sure see sometim breakin spirit singl father hate hear use challeng parent everi album im embarrass tell em end copar alway promis famili unit want differ ive harsh truth fairi tale save bedtim stori tell dont want worri bout whose hous live love who fore got nah look im proud let come lyric commerci use 1409617854061
25,Other,dj khale feat justin bieber quavo chanc rapper brainer brainer best music anoth one dj khale stick crowd babi nobrain aint hard choos real babi nobrain got mind unloos go hard watch sun rise one nightll chang whole life pop top droptop babi nobrain put em yeah yeaheah yeah yeaheaheah middl woah woahwoahoah oh ohoh ooh put em high put em high yeaheaheah yeah yeaheaheah arm yeah woahwoahoah oh ohoh ooh put em high quavo mama told dont talk stranger mama mama mama your ridin drop cant explain skrrt skrrt skrrtskrrt waitin whole time yeah blow brain outta yo mind ooh aint talkin bout physic im talkin bout mental talkin bout mental lookin look like nasti lookin lookin look like classi lookin lookin look dancin look lookin took mansion yeah yeah stick crowd babi nobrain aint hard choos real babi nobrain got mind unloos go hard watch sun rise lyric commerci use 1409617854061
26,Pop/Rock,maroon 5 feat cardi b girl like feat cardi b girl like spent twentyfour hour need hour spent weekend get even ooh spent late night make thing right us good babe roll back wood babe play close caus girl like run round guy like til sun come need girl like yeahyeah girl like love fun yeah want come need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right us good babe roll back wood babe play close yeah lyric commerci use 1409617854061
27,Pop/Rock,maroon 5 feat cardi b red pill blue delux girl like spent twentyfour hour need hour spent weekend get even ooh spent late night make thing right us good babe roll back wood babe play close caus girl like run round guy like til sun come need girl like yeahyeah girl like love fun yeah want come need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right us good babe roll back wood babe play close yeah lyric commerci use 1409617854061
28,Pop/Rock,maroon 5 red pill blue delux wait dirti look mother never seen dress color special occas invit im glad made oh let apolog ill make make make make time love dont wanna lose im beggin beggin beggin beggin beg wait turn around turn around wait work work wait call pleas caus wanna oh wait turn around turn around wait work work lyric commerci use 1409617854061
29,Pop/Rock,maroon 5 red pill blue delux best 4 u yeah anoth night get drunk get high call lie say im way yeah say im way show light your dress work im mumbl word dont know say dont know say tell dont care tell never tri said im sorri mayb million time gonna hurt dont say goodby dont believ dont believ want best want best im best dont want im gonna put want best want best im best dont want im gonna put oh oh oh babi oh oh oh babi oh oh oh oh babi dont want im gonna put lyric commerci use 1409617854061
30,Pop/Rock,maroon 5 feat sza red pill blue delux lover say say say hey hey babi oh mama dont play babi say say say hey hey babi said let get one thing straight babi tell tell love love love ill bet hous lucki lucki lucki gotta tell love love love wishin lucki lucki lucki ooooh oooh wishin ooh ooh tryna lover ooh ooooh oooh wishin ooh ooh tryna lover ooh say say say hey hey babi gonna make hit lay babi ohhh ooh say say say hey hey babi know need gate babi oh ohhh lyric commerci use 1409617854061
31,Pop/Rock,maroon 5 red pill blue delux lip keep connect like shadow your givin answer question pillow oh cant noth get us babi weve wait moment long wanna reckless restless right tomorrow wait put lip feel shiver go spine make cri put lip hear voic echo night babi cri put lip put lip lyric commerci use 1409617854061
32,Pop/Rock,maroon 5 red pill blue delux bet heart time convers dont want complic leav girl alon youll one come home love love time attent patienc im give aint way usual play would lose bet heart would lose bet heart dont wanna slow wont let know would lose oh bet heart bet heart lyric commerci use 1409617854061
33,Pop/Rock,maroon 5 feat julia michael red pill blue delux help im get kind need metamorphosi awak wanna ooh need temporari save ooh need uncompl help caus dont wanna help help caus need someth calm help dont mean bother there someth want distract think much hm loos end tie touch lyric commerci use 1409617854061
34,Pop/Rock,maroon 5 feat lunchmoney lewi red pill blue delux hello thing man see one goe lover lover lover spend night day cover girl sun could burn youll still shine oh yeah dont ask love caus im sure night long dont ask need caus im sure time come oh oh hey babi shouldnt say understand caus alreadi got palm hand wait coupl lifetim ask ooh ooh ooh ay ooh ooh ooh ay lyric commerci use 1409617854061
35,Pop/Rock,maroon 5 feat aap rocki red pill blue delux whiskey leav fallin septemb night came made shiver told could jacket wrap tight around shoulder young til kiss like whiskey like whiskey never knew love blind til never mine yeah reckless let burn let burn yeah feelin bittersweet realizin deep lesson learn learn yeah use tri forget smile rememb ooh leav fallin septemb night came made shiver told could jacket wrap tight around shoulder lyric commerci use 1409617854061
36,Pop/Rock,maroon 5 red pill blue delux girl like spent 24 hour need hour spent weekend get even ooh spent late night make thing right us good babe roll back wood babe play close caus girl like run round guy like til sun come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like spent last night last flight ey ya lyric commerci use 1409617854061
37,Pop/Rock,maroon 5 red pill blue delux closur come tell say want face face bottl open pour emot knew came would stay want closur come close door know know know realli came want closur come close door know know know realli came know want babi realli came closur know want babi know came closur end situat lyric commerci use 1409617854061
38,Pop/Rock,maroon 5 red pill blue delux denim jacket your stand cigarett look like weve never met know fuck ill take blame dont expect let explain cant forgiv cant forget know differ miss denim jacket let get away let get away still wear denim jacket let get away let get away caus color blue sky remind goodby still wear denim jacket let get away let get away someon els take home yeah hand waist use hold ooh ooh know fault lyric commerci use 1409617854061
40,Pop/Rock,maroon 5 red pill blue delux plastic rose gave heart key bed home gave time green favorit jean everyth choos tell hohohow hohohow take take tell hohohow hohohow oh take give one thing back woah oh babi gave babi gave plastic plastic howd make feel like love babi gave plastic rose babi gave gave babi gave plastic plastic lyric commerci use 1409617854061
41,Pop/Rock,maroon 5 feat kendrick lamar red pill blue delux dont wanna know oh oh hey oh oh oh hey oh oh oh oh hey ooh oh ooh oh dont wanna know know know know who take home home home home love way use love dont wanna know know know know who take home home home home love way use love oh dont wanna know wast wast drink think oh cant take babi everi place go remind think use better im around friendsr act strang dont bring name happi happi dont wanna know know know know who take home home home home love way use love lyric commerci use 1409617854061
42,Pop/Rock,maroon 5 feat futur red pill blue delux cold cold enough chill bone feel like dont know anymor dont understand your cold everi breath breath see there someth go dont understand your cold take time time cant take ask space hous know fuck act like togeth everyth weve sleep cover far away distant kiss feel differ babi tell get cold enough chill bone feel like dont know anymor dont understand your cold everi breath breath see there someth go dont understand your cold yeah woah yeah woah yeah dont understand your cold lyric commerci use 1409617854061
43,Pop/Rock,maroon 5 red pill blue delux move like jagger live manchest oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh shoot star feel right aim heart feel like take away make okay swear ill behav want control wait put show nake say im kid ego big dont give shit goe like take tongu ill know kiss till your drunk ill show move like jagger ive got move like jagger ive got move like jagger dont need tri control look eye ill ooown move like jagger ive got move like jagger ive got move mayb hard feel like your broken scar noth feel right your make believ ive got key yeah lyric commerci use 1409617854061
44,Pop/Rock,maroon 5 red pill blue delux sugar live manchest im hurt babi im broken need love love need im without im someth weak got beg beg im knee dont wanna need love wanna deep love kill your away ooh babi caus realli dont care wanna gotta get one littl tast sugar ye pleas wont come put im right caus need littl love littl sympathi yeah show good love make alright need littl sweet life sugar ye pleas wont come put broken piec pick dont leav hang hang come give im without ya lyric commerci use 1409617854061
45,Pop/Rock,maroon 5 red pill blue delux daylight live manchest ooh oh oh ooh oh oh ooh oh oh oh oh oh oh oh ooh oh oh ooh oh oh ooh oh oh oh oh oh oh oh ooh oh oh ooh oh oh ooh oh oh oh oh oh oh oh ooh oh oh ooh oh oh ooh oh oh oh oh oh oh oh wait ill leav soon hold knew day would come knew along come fast last night late im tri sleep caus know wake slip away daylight come ill go tonight im gonna hold close caus daylight well tonight need hold close lyric commerci use 1409617854061
46,Pop/Rock,maroon 5 red pill blue delux payphon live manchest im payphon tri call home chang spent time gone babi wrong plan made two happi ever exist would still hold like fairi tale full shit one fuck love song ill sick yeah know hard rememb peopl use even harder pictur your next say late make late tri time wast bridg burn ive wast night turn light im paralyz still stuck time call love even sun set paradis im payphon tri call home chang spent time gone babi wrong plan made two lyric commerci use 1409617854061
47,Pop/Rock,maroon 5 red pill blue delux map live manchest ooh aooh aooh miss tast sweeter life miss convers im search song tonight im chang station like think drew map better place road took fall oh babi run away darkest time darkest night wonder worst knee said back wonder road took came back im follow map lead map lead aint noth map lead follow follow follow lyric commerci use 1409617854061
48,Pop/Rock,maroon 5 red pill blue delux stereo heart live manchest heart stereo beat listen close hear thought everi note oh oh make radio turn feel low melodi meant sing along stereo anoth dusti record shelf would blow play like everybodi els ask scratch back could handl like yikkyyeah check travi handl furthermor apolog skip track last girl play left coupl crack use use use use im caus hold grudg love ancient artifact could find note make understand id sing softli ear grab hand keep stuck insid head like favorit tune know heart stereo play yeah heart stereo beat listen close hear thought everi note oh oh lyric commerci use 1409617854061
49,Pop/Rock,maroon 5 red pill blue delux harder breath live manchest oh yeah woho dare say behavior unaccept condescend unnecessarili critic tendenc get physic watch step caus youll need miracl drain dri make wonder im even doubl vision see final clear want stay know well want gone fit tread ground walk get cold outsid got nobodi love ohhooh youll understand mean say there way gonna give babi like littl girl cri face monster live dream ohhooh anyon caus get harder harder breath come lyric commerci use 1409617854061
50,Pop/Rock,maroon 5 red pill blue delux love live manchest high recogn fire burn eye chao control mind whisper goodby got plane never return alway heart oh love taken toll said goodby mani time heart breakin front choic caus wont say goodby anymor whoa whoa whoa one time your readi whoa whoa whoa yeah wooh ooh high recogn fire burn eye chao control mind whisper goodby got plane lyric commerci use 1409617854061
51,Pop/Rock,maroon 5 red pill blue delux anim live manchest babi im prey tonight hunt eat aliv like anim anim like animalsm mayb think hide smell scent mile like anim anim like animalsm babi im tri like cant stop enemi get along im insid yeah your like drug that kill cut entir get high im insid yeah start run free find fish sea pretend meant cant stay away still hear make sound take roll ground pretend oh babi im prey tonight hunt eat aliv like anim anim like animalsm mayb think hide smell scent mile lyric commerci use 1409617854061
53,Rap,cardi b invas privaci bodak yellow ksr cardi ayi said im shit cant fuck want said lil bitch cant fuck want expens red bottom bloodi shoe hit store get em dont wanna choos im quick cut nigga dont get comfort look dont danc make money move say dont gotta danc make money move see dont speak mean dont fuck im boss worker bitch make bloodi move say gon let find see cardi b know im know club parti im get paid fee bank much know theyr tire honestli dont give fuck bout aint fond drop two mixtap six month bitch work hard dont bother hoe dont let hoe bother see pictur say goal bitch im tryna look might chill bape might chill boo might feel babe lyric commerci use 1409617854061
55,Rap,cardi b invas privaci get 10 look gave bitch two option strippin lose use danc club right across school said danc fuck dont get confus set record straight caus bitch love assum mama couldnt give get sue lord know got shoe cover dollar im drippin jewel bitch play money might well spit food bitch hate gut swear cool went makin tuna sandwich makin news start speakin mind tripl view real bitch thing fake boob get money go hard your mothafuckin right never fraud mothafuckin life get money go hard damn fuckin right stunt bitch mothafuckin spite aint runnin went nothin glori aint tellin yall im tellin stori dont hang bitch caus bitch corni got enough bra yall aint gotta support went rag rich went wic lit nigga person fam see six figur pressur shoulder feel like boulder gotta make sure everybodi straight bitch stab back smilin face talk crazi name tri catch case wait whole life shit nigga climb top floor spit nigga said tryna chill make banger banger lyric commerci use 1409617854061
56,Rap,cardi b feat migo invas privaci drip boy cass cardi nonstop came drippin drip drip came drippin drip drip came drippin drip drip diamond wrist drippin ice came drippin drip drip came drippin drip drip came drippin drip drip diamond wrist drippin ice came drippin drip drip came drippin drip drip came drippin drip drip diamond wrist drippin ice came drippin drip drip came drippin drip drip came drippin drip drip diamond wrist drippin ice give littl someth rememb cardi tryna make love sprinter yeah quick drop nigga like kemba go lookin like right swipe tinder woo shit hoe shit light wrist hoe wrist look bitch feel like im stilt hoe woo fuck ya babi daddi right right anna mae got cake pound pound go eat dont drown mac n chees bowl sound sound got gushi yeah that fact never pussi ive bitch sinc pajama footi mvp im still rooki like woo gotta work anger ayi might kill bitch finger ayi gotta stay outta gucci woo im finna run outta hanger woo stripper rapper singer im bust buck bentley bentayga ride hood like bitch im mayor bitch bitch danger came drippin drip drip came drippin drip drip lyric commerci use 1409617854061
57,Rap,cardi b invas privaci bickenhead goe nasti hoe yeah aalright alright alright alright alright across globe woo hol goe nasti hoe yeah alrightalright alright alright alright alright across globe look uh said luxuri apart wow im young im heartless yeah there bitch that vision bitch target brrr lawyer jew gon chew charg dont matter fuck get money regardless cash guap guap get chicken guap guap get bread guap guap get chicken guap guap get bread bitch press flex get money ho tell stress said hoe gs gs know im rockin watch freez ice cant wait drop lamborghini truck skrrt im care park hoe key bitch get beat slim waist ass fat fat shit cake bad bitch bake yeah without makeup collard green cornbread neck bone back fat get mama dont know daddi lyric commerci use 1409617854061
58,Rap,cardi b feat chanc rapper invas privaci best life im livin best life yeah yeah im livin best life made coupl ms know igh huh said im livin best life said im livin best life made coupl ms best friend turn ls lesson see whip pullin like skrrt dream pullin im like skrrt im livin best life birthday least that im dress like im like big pop mix 2pac im like makav yeah need littl caesar pizza hot readi woo nigga pussi rat like tom jerri nigga aint ballin talkin that commentari huh field man slave yeah talk god drop pray surpris repli said made seen car want went paid cash cash hit tayk hit race hit dash dash that came twitter backlash cardibissoproblemat hashtag cant believ wanna see lose bad talkin junk stink hoe mad trash im gigglin cant let devil last laugh aint beefin im keepin im competit im competin brrr told yall said im livin best life woo told yall said im livin best life ayi made coupl ms best friend turn ls lesson skrrt skrrt see whip pullin like skrrt like skrrt dream pullin im like skrrt like skrrt lyric commerci use 1409617854061
59,Rap,cardi b feat kehlani invas privaci ring ooh ooh ring ring ring ring dont hit line oh oh dont make ring ring ring ring cant keep low want make ring ring ring ring call first cant decid want bitch got pride switchin shit cant fuck im feelin hard get touch aint hit actin like dont know number dial quit that ima throw towel caus nigga gon allow dont want gun smoke learn text nose thumb broke dont care gettin stall ass still wake miss call ass nigga lyric commerci use 1409617854061
61,Rap,cardi b feat 21 savag invas privaci bartier cardi bardi rari diamond bodi 30 fool one shinin bodi bardi put lil bitch molli bardi bitch molli cheez 21 diamond bodi fuck bitch molli ksr ask im bout bitch wanna parti cardi cartier bardi rari 21 diamond bodi cardi shinin bodi bodi cardi got bitch molli bitch aint gang lame bentley truck lane lane blow brain 21 go insan insan drop check chain fuck check flame cardi took man upset uh cardi got rich upset yeah cardi put pussi offset say cartier cardi b brain offset 21 cardi took man upset uh cardi got rich upset yeah 21 cardi put pussi offset cardi cartier cardi b brain offset who cardi get motherfuck start cardi took bitch parti cardi took bitch depart cardi fli martian cardi fleek cut cardi got brick truck cardi diamond gon hit like bitch bitchi ass bitch bitch wannab cardi red bottom mj moonwalk bitch moonwalkin cliqu im moonwalkin 6 sticki kick moonrock bitch im motherfuckin bronx bronx keep pump trunk trunk bitch bad jump jump might leav bitch slump back lyric commerci use 1409617854061
62,Rap,cardi b feat yg invas privaci bad 4hunnid mustard beat ho dat ass dat ass dat ass dat ass dat ass dat ass dat ass dat ass bad bad bad bad bad bad bad bad gucci bag gucci bag gucci bag fendi bag prada bag loui bag gucci bag gucci bag birkin bag bag drip swag never mad glad loui bag bag look look momma need mill money cash prada bag heel money see ex still love ha new nigga gon kill yeah chain got diamond bling account got comma cash damn daddi fine hell hope wallet got condom im mad im first she last yeah rob take clickclack skimask im boss skirt im dog im flirt write vers twerk wear offwhit church prolli make preacher sweat read bibl jesu wept bitch say gon tri come havent seen yet give good eye roll back huh shorti said thigh dont match dat ass dat ass dat ass dat ass lyric commerci use 1409617854061
63,Rap,cardi b invas privaci thru phone look want break shit call mama phone let know rais bitch dial tone click fuck littl fake ass friend come around actin like bro seen yall littl group text like brag hoe tell littl bitch screenshot nake pic oh wanna send nude man wake see boob gram lil bitch cannot stand right hand jesu might cut tongu sneaker smash tv best buy gon turn left eye dont wanna hear bout invas privaci feel turn lie im holdin back everyth that insid fuckin bitch follow heart beat like bleed sleepin sleepin sleepin sleep like babi everyon right lyric commerci use 1409617854061
64,Rap,cardi b feat sza invas privaci mmmmurda left nigga read caus felt like dress red saint laurent jacket dapper dapper look fine check divin wonder wonder whatev like like like like like think us bad bitch gift god gift god think broke hoe need get job get job im boss write name check cardi pussi good say name sex might smack bitch caus felt like gucci shoe belt like said cardi favorit fragranc im rich bitch smell like im boss bitch mood ay heel givenchi ho boss bitch shoe lyric commerci use 1409617854061
65,Rap,6ix9in feat nicki minaj murda beatz fefe feat nicki minaj murda beatz fefe fuckin treyway king new york lookin queen uh got right one let bitch know nigga queen brooklyn murda beat nice pussi got wet wet got drip drip got super soaker hit fefe hun keke clean dick like freak freak dont even know like dont even know like hit know cant wife talk nice wont fight back turn around hit back back back murder damn thing make clap clap clap dont realli want fame dont realli want friend draco got kickback blow thing track dont shoot back one shot close rang red dot head tie yeah think yeah live call uber shooter ruger gon lyric commerci use 1409617854061
66,Country,kenni chesney song saint get along met man wearin tshirt said virginia lover bibl left hand bottl said your realli given sunshin name start laughin sky start rain get along road weve got long long way go scare live scare die aint perfect tri get along alway give love upper hand paint wall learn danc call mom buy boat drink beer sing song make friend cant get along lyric commerci use 1409617854061
67,Country,kenni chesney feat mindi smith song saint better boat aint lone spend lot time alon id like im okay stay home last month chang smile mourn despit pain breath breath got friend call let talk aint work what still hurtin thing feel like cuss let go around wave cant control lyric commerci use 1409617854061
68,Country,kenni chesney song saint song saint long boat anchor harbour long steel drum fill breez god lift island ocean stood strong centuri fit name men golden halo caus angel dont give caus littl wind blow say say cant see see aint blood sweat tear new coat paint sinner choir singin song saint woah woah woah woah lyric commerci use 1409617854061
70,Pop/Rock,imagin dragon natur natur hold line everi one give give tell hous mine noth ever come without consequ cost tell star align heaven step save us sin caus hous mine stand strong that price pay leav behind heartach cast away anoth product today rather hunter prey your stand edg face caus your natur beat heart stone gotta cold make world yeah your natur live life cutthroat gotta cold lyric commerci use 1409617854061
71,Rap,post malon beerbong bentley better probabl think better better say caus im around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus your around around know never meant let let woulda gave anyth woulda gave everyth ohwoah believ would end everyth came second benzo your even speakin friend knew uncl aunt though twenti candl blow em open eye lookin forward rest live use keep pictur post bedsid dresser sock dont like im rollin rollin rollin rollin brother like jona jona lyric commerci use 1409617854061
72,Rap,post malon feat ty dolla ign beerbong bentley psycho damn ap goin psycho lil mama bad like michael cant realli trust nobodi jewelri roof look like noshow got diamond boatload come toni romo clown bozo ap goin psycho lil mama bad like michael cant realli trust nobodi jewelri roof look like noshow got diamond boatload dont act like friend im rollin end though stuck friend zone tell fourfiv fifth ayi hunnid band insid short dechino shit ayi tri stuff dont even fit ayi know shit ever sinc jit ayi made first million im like shit ayi 30 walkthrough man bitch lit ayi mani bottl gave ugli girl sip window benzo get seen rent im like whoa man neck goddamn cold diamond wet tshirt soak lyric commerci use 1409617854061
73,Rap,post malon feat 21 savag beerbong bentley rockstar hahahahaha thank god ayi ayi ive fuckin hoe poppin pilli man feel like rockstar star ayi ayi brother got ga alway smokin like rasta sta fuckin call uzi show man shotta ta homi pull block make thing go grrratatata ta pow pow pow ayi ayi switch whip came back black im startin sayin rest peac bon scott scott ayi close door blowin smoke ask light fire like im morrison son ayi act fool stage prolli leav fuckin show cop car car ayi shit legendari threw tv window montag cocain tabl liquor pourin dont give damn dude girlfriend groupi tryna get lyric commerci use 1409617854061
74,Rap,post malon beerbong bentley paranoid never know someon come tri take life ive sleepin 45 like everi night whip pray god dont see flashin light god damn right behind wake everyday wake everi day anxieti know stay got malon plate followin two hundr band floor kitchen littl wall ceilin even famili friend start switchin ever sinc got check seen em itchin eye open see im watchin yeah peopl wanna dont trust one tell get relief cant get sleep lyric commerci use 1409617854061
75,Rap,post malon feat swae lee beerbong bentley spoil night dont much say ill front wont come spoil night feelin come play im thinkin happen everi time spoil night spoil night spoil night night spoil night spoil night necklac natur glow dancin strobe let fuckin spoil night spoil night spent much cash lost cup toxic took robe yeah couldnt get drop plenti money thigh there plenti room ride ive never like small fri lyric commerci use 1409617854061
77,Rap,post malon beerbong bentley zack codein man life sweet feel like codi codi wake rins mouth fuckin codein codein thirti bottl yeah bill livin fast cant take slowli slowli man life sweet feel like codi codi wake rins mouth fuckin codein codein bender aint gettin sleep sleep turn hotel lobbi parti im whippin foreign cant whip beetl rock saint laurent beater like stunt like im evel knievel ooh dont mean nothin without peopl step stage hand sky everi littl thing alway analyz gave bitch littl blow come aliv ooh wow start dancin tabl like mine yeah dont fuck nobodi yeah hardli know take cant save soul lyric commerci use 1409617854061
