,genre,body_text_clean,genre_Country,genre_Other,genre_Pop/Rock,genre_Rap
44,Pop/Rock,maroon 5 red pill blue delux sugar live manchest im hurt babi im broken need love love need im without im someth weak got beg beg im knee dont wanna need love wanna deep love kill your away ooh babi caus realli dont care wanna gotta get one littl tast sugar ye pleas wont come put im right caus need littl love littl sympathi yeah show good love make alright need littl sweet life sugar ye pleas wont come put broken piec pick dont leav hang hang come give im without ya lyric commerci use 1409617854061,0,0,1,0
46,Pop/Rock,maroon 5 red pill blue delux payphon live manchest im payphon tri call home chang spent time gone babi wrong plan made two happi ever exist would still hold like fairi tale full shit one fuck love song ill sick yeah know hard rememb peopl use even harder pictur your next say late make late tri time wast bridg burn ive wast night turn light im paralyz still stuck time call love even sun set paradis im payphon tri call home chang spent time gone babi wrong plan made two lyric commerci use 1409617854061,0,0,1,0
50,Pop/Rock,maroon 5 red pill blue delux love live manchest high recogn fire burn eye chao control mind whisper goodby got plane never return alway heart oh love taken toll said goodby mani time heart breakin front choic caus wont say goodby anymor whoa whoa whoa one time your readi whoa whoa whoa yeah wooh ooh high recogn fire burn eye chao control mind whisper goodby got plane lyric commerci use 1409617854061,0,0,1,0
57,Rap,cardi b invas privaci bickenhead goe nasti hoe yeah aalright alright alright alright alright across globe woo hol goe nasti hoe yeah alrightalright alright alright alright alright across globe look uh said luxuri apart wow im young im heartless yeah there bitch that vision bitch target brrr lawyer jew gon chew charg dont matter fuck get money regardless cash guap guap get chicken guap guap get bread guap guap get chicken guap guap get bread bitch press flex get money ho tell stress said hoe gs gs know im rockin watch freez ice cant wait drop lamborghini truck skrrt im care park hoe key bitch get beat slim waist ass fat fat shit cake bad bitch bake yeah without makeup collard green cornbread neck bone back fat get mama dont know daddi lyric commerci use 1409617854061,0,0,0,1
58,Rap,cardi b feat chanc rapper invas privaci best life im livin best life yeah yeah im livin best life made coupl ms know igh huh said im livin best life said im livin best life made coupl ms best friend turn ls lesson see whip pullin like skrrt dream pullin im like skrrt im livin best life birthday least that im dress like im like big pop mix 2pac im like makav yeah need littl caesar pizza hot readi woo nigga pussi rat like tom jerri nigga aint ballin talkin that commentari huh field man slave yeah talk god drop pray surpris repli said made seen car want went paid cash cash hit tayk hit race hit dash dash that came twitter backlash cardibissoproblemat hashtag cant believ wanna see lose bad talkin junk stink hoe mad trash im gigglin cant let devil last laugh aint beefin im keepin im competit im competin brrr told yall said im livin best life woo told yall said im livin best life ayi made coupl ms best friend turn ls lesson skrrt skrrt see whip pullin like skrrt like skrrt dream pullin im like skrrt like skrrt lyric commerci use 1409617854061,0,0,0,1
63,Rap,cardi b invas privaci thru phone look want break shit call mama phone let know rais bitch dial tone click fuck littl fake ass friend come around actin like bro seen yall littl group text like brag hoe tell littl bitch screenshot nake pic oh wanna send nude man wake see boob gram lil bitch cannot stand right hand jesu might cut tongu sneaker smash tv best buy gon turn left eye dont wanna hear bout invas privaci feel turn lie im holdin back everyth that insid fuckin bitch follow heart beat like bleed sleepin sleepin sleepin sleep like babi everyon right lyric commerci use 1409617854061,0,0,0,1
68,Country,kenni chesney song saint song saint long boat anchor harbour long steel drum fill breez god lift island ocean stood strong centuri fit name men golden halo caus angel dont give caus littl wind blow say say cant see see aint blood sweat tear new coat paint sinner choir singin song saint woah woah woah woah lyric commerci use 1409617854061,1,0,0,0
78,Rap,post malon beerbong bentley takin shot drinkin night aint done yet yet waitin plug aint come yet yet still need somethin put bank bank got big bag bape big bag parti aint say somethin say somethin sleep til ive seen three sun three sun parti gon end threesom threesom raw dog prolli three son chasin perc somebodi shit never let uhm go work money make actin uhm grrrrrah takin shot right shot right grrrrrah yeah takin shot right shot see rari goin vroomvroom skrrt skrrt sexi motherfuck car saint laurent 40 new suit sippin bud light that new goos babi bust open like woohoo diamond got cut like booboo pocket fat rock muumuu dre came pumpum drippin drippin drippin women tryna take million help bro assist im jason william heard there parti might pay visit visit that moment hop frog like ribbitribbit skrrt drunk walk door fuckin high like hello lyric commerci use 1409617854061,0,0,0,1
79,Rap,post malon beerbong bentley ahahah yeah yeah yeah yeah leav made jump room didnt faze wouldv given moon even everythin weve aint ever met nobodi like alway tryna tell cool need quiet caus never tell truth felt like ballin thing trade women diamond coup she comin heart feel like armageddon ima turn tabl promis forget wont apolog dont give fuck your offend discuss yeah gotta go separ way wont take flame dont even wanna know name watch everyth gonna chang yeah ayi ima pull bentley fuckin hundr thousand pocket yeah yeah ima pull swang door open stuntin knowin everybodi watchin yeah yeah help anoth bitch whip lyric commerci use 1409617854061,0,0,0,1
82,Rap,post malon beerbong bentley stay true know said want fuck pour anoth drink tell think know im drunk talk right put cigarett face beauti pleas woman dont break back ill put miseri tell okay tell okay ive waitin damn day waitin damn day call mornin tell last night went im lyric commerci use 1409617854061,0,0,0,1
92,Pop/Rock,5 second summer youngblood delux youngblood rememb word told love til day die surrend everyth caus made believ your mine yeah use call babi your call name take one know one yeah beat damn game push push im pull away pull away give give give take give take youngblood say want say want life im dead man walk tonight need yeah need time yeah ooh ooh ooh youngblood say want say want back life im dead man crawl tonight caus need yeah need time yeah ooh ooh ooh lyric commerci use 1409617854061,0,0,1,0
94,Pop/Rock,5 second summer youngblood delux lie saw look brand new overnight caught look didnt look twice look happi oh look happi oh flash back new york citi chang flight stay rememb think got right wish never met caus your hard forget im clean mess lyric commerci use 1409617854061,0,0,1,0
104,Pop/Rock,5 second summer youngblood delux ghost wake still cant sleep side there coffe cup lipstick stain fade time dream long enough youd tell id fine ill fine drown like alway danc hous ghost chase shot truth danc hous ghost lyric commerci use 1409617854061,0,0,1,0
106,Pop/Rock,5 second summer youngblood delux meet lololololololov everi moment spent wish everi night slept dreamt matter go know id wait would break bend want lololololololov go way ill go mine meant ill meet cant speed hand time meant lololololololov ill meet lololololololov ill meet lololololololov physic cant keep track day lyric commerci use 1409617854061,0,0,1,0
108,Other,lauren daigl look child say keep fight voic mind say im enough everi singl lie tell never measur song everi high everi low remind need know ooh oh say love cant feel thing say strong think weak say held fall short dont belong oh say believ oh believ say believ lyric commerci use 1409617854061,0,1,0,0
109,Rap,juic wrld goodby good riddanc lucid dream still see shadow room cant take back love gave point love hate cannot chang must replac oh easier said done thought one listenin heart instead head found anoth one better one wont let forget still see shadow room cant take back love gave point love hate cannot chang must replac oh easier said done thought one listenin heart instead head found anoth one better one wont let forget left fall land insid grave know want dead cough take prescript make feel aokay know head lyric commerci use 1409617854061,0,0,0,1
116,Rap,juic wrld goodby good riddanc scare love ooh ooh woah never scare tell dont care realli care hope care never scare love drop motherfuck never scare love scare love im drug way much im enough enough your way much way much scare love scare love enough im enough your way much im get enough your way much still im get enough your way much much weight heavi shoulder girl your much put heart grave get love need drug way much lyric commerci use 1409617854061,0,0,0,1
118,Rap,juic wrld goodby good riddanc karma skit okay ive call like 30 time cant answer phone call back billion time cant answer phone yeah know im sorri told none meant noth noth meant noth lyric commerci use 1409617854061,0,0,0,1
120,Rap,juic wrld goodby good riddanc black white im black benz doin cocain black friend uh well high hell night end yeah oh well high night end night end switchin white benz doin codein white friend uh well high hell night end yeah night end woah night begin lord merci know perci finna hurt ayi sometim feel like doin surgeri tell workin workin workin tell workin parti damn much ayi nigga cant keep im get fuck fuck yeah im fuck wont look til sun come lyric commerci use 1409617854061,0,0,0,1
130,Other,brenton wood love simon origin motion pictur soundtrack oogum boogum song oogum oogum boogum boogum boogum babi your castin spell say oogum oogum boogum boogum boogum babi your castin your spell got doin funni thing like clown look wear high heel boot hip hugger suit right your outta sight wear cute mini skirt brother sloppi shirt admit girl dig lyric commerci use 1409617854061,0,1,0,0
144,Pop/Rock,taylor swift reput gorgeou gorgeou take compliment got drunk made fun way talk think consequ magnet field littl strong got boyfriend he older us he club doin dont know your cool make hate much hate much whiski ice sunset vine youv ruin life mine your gorgeou cant say anyth face caus look face im furiou make feel way say your gorgeou take compliment lyric commerci use 1409617854061,0,0,1,0
151,Pop/Rock,taylor swift reput new year day there glitter floor parti girl carri shoe lobbi candl wax polaroid hardwood floor night dont read last page stay your lost im scare your turn away want midnight ill clean bottl new year day squeez hand three time back taxi tell gonna long road ill your toast town babe strike your crawl home dont read last page stay lyric commerci use 1409617854061,0,0,1,0
153,Country,jason aldean rearview town make easi like raini sunday morn make want stay bed twist day long your inspir girl take place put word right song steal kiss cover babe see forev see face swear god made make easi lovin make easi everi littl thing your sunshin darkest day better half save grace lyric commerci use 1409617854061,1,0,0,0
154,Country,jason aldean rearview town dirt dust need red smoke long week straight head there noth left shot patron kick good time get go strong babi pour slip weekend live put friday night hurt bottl fifth get gone song midnight play put littl way underneath boot kick switch light let stir turn dirt dust yeah turn dirt dust lyric commerci use 1409617854061,1,0,0,0
161,Country,jason aldean rearview town like mine blew right past citi limit sign littl town use coop quick stop board yellow line fade road man swear still hear sing like angel chevi stereo oh everi turn everi street drop memori your everywher use go still look car still stop bar weekend drink much crown im still chase buzz yeah use us keep like still go still feel like never said goodby like mine lyric commerci use 1409617854061,1,0,0,0
163,Country,jason aldean rearview town ill wait field dont grow overnight town wasnt built day ill turnin dirt sun come goin round circl plane your take away chasin sun la 2000 mile aint far girl wherev ill wait ill wait find way back ill pray ill wait august rain break dawn like anyth worth count come ill wait ill keep light porch ill keep key mat case im somewher tryin lose mind lyric commerci use 1409617854061,1,0,0,0
164,Country,jason aldean rearview town ride night im sick tire bar crowd ill throw money want step youv got lock take hand come queen sit king ranch bet youd look good two lane back road bare feet dash hand window want ride night sit right till get tomorrow shine headlight want show around littl farm town find place cant found girl lyric commerci use 1409617854061,1,0,0,0
165,Country,jason aldean rearview town smoke girl know talk said need time cool ive side town stay low come walk littl bar like could set fire alarm one littl drink wont hurt dont know girl lightn strike match that alway happen get close start danc neon whisper babi dream whiskey hit coke next thing know go smoke lyric commerci use 1409617854061,1,0,0,0
166,Country,jason aldean rearview town high noon neon wanna see look like ya aint gotta go far block wanna see pictur goodby chair tabl smoke hang round ceil night light come crack door noth say gone like park lot one car noth say gone like empti glass sit bar middl day blue light haze alon lyric commerci use 1409617854061,1,0,0,0
167,Rap,tyga feat offset tast feat offset tast slide pimp game pinki rang lotta gang lotta bitch ici chain claim rich that fals claim straight whip baggag claim whole lotta style cant even pronounc name aint got style see instagram rockin like fresh pan im takin pic im middleman walk talk like boss lift hand 3 million cash call rain man money like shower that rain danc black like gangland say wrong word hangman watch stick bitch like spray tan aw mr kind car citi love name nigga aint gotta say tast tast get tast tast tast get tast tast tast fuck nigga say like maryk tast tast get tast tast tast let get tast tast tast love tast yeah that cool aint like lotta girl like nigga wanna fight nigga get yo ass check like fuckin nike icey that unlik lyric commerci use 1409617854061,0,0,0,1
177,Pop/Rock,imagin dragon evolv mouth river mouth river mouth river mouth river wanna live life like live life faith one wanna bow floor everybodi els wanna someon wanna make love dont want enemi curs man alway live life live live live pleas oh mouth river wrath giver hand sinner oh mouth river woah oh mouth river woah wrath giver woah hand sinner woah mouth river sick oh im alkalin lyric commerci use 1409617854061,0,0,1,0
181,Country,dan shay dan shay speechless say youll 5 smell perfum float stair your fix hair like know ill mess second see wont surpris happen everi time noth alway night like tonight think read mind caus look eye im speechless stare stand dress aint secret caus watch im speechless alreadi know your weak lyric commerci use 1409617854061,1,0,0,0
184,Country,dan shay dan shay im jealou blue jean your wear way theyr hold tight im jealou moon keep stare lock door turn night want dont need anyon els let bodi talk let shadow paint wall want arm well hide away dark slip hand back pocket go let long hair fall want lyric commerci use 1409617854061,1,0,0,0
186,Country,dan shay dan shay make break phone light grab favorit shirt key counter caus said wanna danc halfway drive must chang mind aint even hour tell youv got plan wouldnt surpris later tonight your call beg come caus babi im caught back forth im somewher middl dont know love hate make break ooh yeah ooh lyric commerci use 1409617854061,1,0,0,0
187,Country,dan shay dan shay stupid love sure know pick em dont ya drivebi smile might kiss goodnight take easi wont ya know get everytim say aint gonna call call im car drive fast go far stupid love thought kick habit work littl midnight magic go fall back stupid love pull like boomerang alway damn thing cant get enough enough stupid lolov lolov lolov love love love hate way need ya your leav lyric commerci use 1409617854061,1,0,0,0
190,Country,dan shay dan shay island time world stop spin swear felt slow minut know sound crazi look babi summer hair that fall slow motion bodi sway like wave ocean know your think exactli im think could go anywher wouldnt go anywher im alreadi girl aint gotta leav room make feel like honeymoon dont need cabo tan skin hand still pretend girl dont need white sand beach lyric commerci use 1409617854061,1,0,0,0
191,Pop/Rock,chainsmok feat emili warren side effect side effect 4am dont know go everywher close go home yeah feet take front door know shouldnt though heaven know ooh side effect loneli oh your want good give come give love tonight oh your want good give come give love tonight happen everi time tri mix decis make one mani drink ooh late night friend consequ cool yeah oh your want lyric commerci use 1409617854061,0,0,1,0
196,Pop/Rock,camila cabello camila insid mmm oh yeah yeah yeah ehyeah wanna love insid wanna love insid yeah yeah yeah babi give doubt caus wanna love insid yeah yeah yeah wanna love insid show insid bout yeah yeah yeah dont wanna know word mouth caus wanna love insid oh yeah wanna love insid oh wanna love insid look bright side your right side your best best yeah im talk time time im talk worldwid worldwid worldwid worldwid dont wast girl time dont wast girl time caus your love lyric commerci use 1409617854061,0,0,1,0
199,Pop/Rock,camila cabello camila someth gotta give love thought couldnt get higher novemb rain could set night fire night fire could burn long counterfeit emot run skin deep know your lie your lie next next get far gone know know know someth gotta give someth gotta break give take someth gotta chang know wont reason stay good reason go lyric commerci use 1409617854061,0,0,1,0
200,Pop/Rock,camila cabello camila dark blank stare faithless vampir place shadow trace know feel your runnin runnin runnin runnin make round fake friend runnin runnin away strip without show skin yeah see your scare emot see your hope your hopeless cant show cant show see your look distract see your tire act cant show dark show scari part 3 your alon la doesnt feel like home dark lyric commerci use 1409617854061,0,0,1,0
203,Pop/Rock,ariana grand tear left cri tear left cri right im state mind wanna like time aint got tear left cri im pickin pickin im lovin im livin im pickin im pickin pickin im lovin im livin im pickin im pickin pickin lovin im livin turnin yeah turnin aint got tear bodi ran boy like like like dont matter tri vibin vibin vibin comin even rainin cant stop cant stop shut mouth shut mouth dont know know babe know babe yeah right im state mind wanna like time aint got tear left cri lyric commerci use 1409617854061,0,0,1,0
205,Pop/Rock,ariana grand sweeten god woman love move love touch one said done youll believ god woman feel midnight feel cant fight one linger done youll believ god woman dont wanna wast time yuh aint got onetrack mind yuh way like yuh tell know know want aint nobodi els relat boy like aint afraid babi lay let pray im tell way like want yuh thing tell yuh tri come keep flourish yuh see univers im compani uh lyric commerci use 1409617854061,0,0,1,0
210,Country,luke bryan make countri nowher girl regular saturday night summer guy girl star way sky like music stop play saw bodi come someon come parti tonight littl light nowher girl life tri hide like come come anoth world fell right sky land right tonight wanna danc way gotta wanna go somewher littl nowher girl nowher girl girl lost town weekend life ive never seen need someon show around girl got gotta know hold dont wanna leav alon anymor lyric commerci use 1409617854061,1,0,0,0
211,Country,luke bryan make countri light open eye reach phone word ya babi dont leav sight sinc fight cant rememb mayb blew middl night drink friend ignor got get neurot babi caus know your read phone cant help im go crazi think might alon wake check shower check lyric commerci use 1409617854061,1,0,0,0
213,Country,luke bryan make countri drink five oclock drink wear flip flop drink there jukebox drink drink sun drink somebodi bought round drink got cold beer drink well laugh love high five hug pop top long neck honki tonk friend drink bartend pretti drink think kinda dirti drink past beer 30 drink lyric commerci use 1409617854061,1,0,0,0
214,Country,luke bryan make countri land million song dont know cant make stop hook daddi handmedown flat top first time made first love cri word wrote run eye paper made feel aliv pack pickup cross tennesse line your alway search littl someth differ say bibl woman who stand stage get told your fit get told dont belong drink much smokey littl bar downtown stumbl home time throw towel wake morn look sunlight hurt find old guitar write anoth vers land million song lyric commerci use 1409617854061,1,0,0,0
218,Country,luke bryan make countri hungov hotel room hungov hotel room cell phone dead your stretch next lost somewher dark whiskey dream hungov hotel room call concierg two bloodi mari cigarett wake breakfast bed hear voic head hey gonna come pick alway say gonna burn want babi call back call back mayb hang room 704 hang sign door gucci fall floor light low danc dark bodi kill throw spark lay back babi anyth goe lyric commerci use 1409617854061,1,0,0,0
238,Pop/Rock,onerepubl connect connect day wave get lost ocean seven billion swimmer man im go motion sent flare need love devot trade face never know notion mayb tri find old take place peopl know tryna disconnect think mayb could show there mani peopl lone get connect get get connect lone get connect get get connect real friend good friend hard find let face lyric commerci use 1409617854061,0,0,1,0
239,Other,selena gomez 13 reason season 2 music origin tv seri back took like shot thought could chase cold even let coupl year water im feel everi time talk everi singl word build moment gotta convinc dont want even though could break heart two heal beat know forward true wanna hold im suppos im lie close someon els your stuck head cant get could know id go back know id go back know id go back never got right play replay old convers lyric commerci use 1409617854061,0,1,0,0
242,Other,yungblud feat charlott lawrenc 13 reason season 2 music origin tv seri fall sky even though sky fall dont let go dont let go even though sky fall dont let go dont let go dont wanna die dont wanna cri lightn dont wanna poke needl feel thing dont wanna product liabil dont want fight never seen person perceiv dont wanna alon start breath middl apocalypt disast tell matter tell matter your gonna roll world smoke peopl sit pack yeah noon know comatos right hope fuck hype life world know door close hold close dont let go let smoke cigarett world explod even though sky fall lyric commerci use 1409617854061,0,1,0,0
243,Other,lord huron feat phoeb bridger 13 reason season 2 music origin tv seri night met travel repaid debt ive search trail follow take back night met tell hell im suppos tell ride along lyric commerci use 1409617854061,0,1,0,0
246,Other,leon els 13 reason season 2 music origin tv seri kind love think ive got heart stone left alon lone tonight think im gonna break heart tell im mayb she right know cant hold like dont emot true cant love like kind love ill show love show love show love ill show love show love show love ill show love show love show love kind love ill show love show love show love ill show love show love show love ill show love show love show love kind love think im anim think ive told thing thing defin tell ill die alon lyric commerci use 1409617854061,0,1,0,0
251,Other,year year 13 reason season 2 music origin tv seri sanctifi pray pray night come caus im one know ooh give confess say late life tear apart walk fire caus know hurt cut two afraid dont break break sanctifi bodi pain pain sanctifi love crave crave oh wont wont wont asham lyric commerci use 1409617854061,0,1,0,0
258,Other,alarm 13 reason season 2 music origin tv seri strength give love give hope give strength give someon live light fire need surviv life blood cours vein like river flow never chang need someon depend caus im man emot cant hide tear im man feel cant hide pain lyric commerci use 1409617854061,0,1,0,0
261,Pop/Rock,foster peopl sacr heart club money close eye gonna run light live live yeah wast time babi lost mind gonna get gonna get get money money money money wrong rock booz gotta strike match light fuse im never look back time leav futur past said doesnt matter go call poet battl shout world let know wont afraid step fight cant see light close eye gonna run light live live yeah wast time lyric commerci use 1409617854061,0,0,1,0
263,Pop/Rock,foster peopl sacr heart club love friend friend theyr vacat im stuck park lot well look mirror im look screen pixel dream blow pocket ill find action cut scene im merrygoround im wash machin spin friend dont favor unless theyr parti got em friend blow paycheck got money theyr dumb reckless love friend love friend got dont need other lyric commerci use 1409617854061,0,0,1,0
264,Pop/Rock,foster peopl sacr heart club orang dream doctor afro malfunkenstein lyric commerci use 1409617854061,0,0,1,0
269,Pop/Rock,foster peopl sacr heart club harden paint face embrac pressur made anoth time need ill say name yeah im right let drift away fit pleasur your beauti design say need face fear say name yeah im right yeah im float hand street gold dust caught fluff fat tell ive cross line need ill say name ill appear live anoth fall trash caught trip love pleas open ive gone long need ill appear say name yeah im right lyric commerci use 1409617854061,0,0,1,0
279,Pop/Rock,bebe rexha expect ferrari everi day blur sometim cant tell day dont know day tell day life pass caus im chase empti high everi hello mean goodby im look time start slow learn live right want feel im ferrari pull mulholland drive citi light pretti im ferrari parti done keep go miss moment live fast lane get kind lone yeah lyric commerci use 1409617854061,0,0,1,0
282,Other,zedd feat maren morri grey middl middl take seat right sat stair stay leav cabinet bare im unawar got mess got aggress know meant good intent pull closer dont pull close dont come cant let go oh babi dont meet middl im lose mind littl dont meet middl middl babi dont meet middl im lose mind littl dont meet middl lyric commerci use 1409617854061,0,1,0,0
292,Pop/Rock,luke comb one delux edit hurrican hadnt good time sinc know got talk goin hope stayin feelin like first time long time til bump friend talkin mine roll hair wind babi without warnin doin alright sight heart stormin moon went hidin star quit shinin rain droppin thunder n lightnin wreck whole world came hit like hurrican hit like hurrican lyric commerci use 1409617854061,0,0,1,0
296,Pop/Rock,luke comb one delux edit got away well got caught panama citi tryin buy beer georgia girl got wore daddi stealin cigarett smoke friend would get away seem id get caught plain day look blame everi littl thing got away somehow l still aint found crazi truth like l stroll gate alcatraz l walk louvr mona lisa hang hous bust buckingham crown jewel l got away lyric commerci use 1409617854061,0,0,1,0
297,Pop/Rock,luke comb one delux edit honki tonk highway prevost headin alabama got three night run gonna kick birmingham headlight wide line fli 65 tryna catch hour sleep tomorrow come show time that know im live neon dream oh got boy band one night stand wait us road gonna load crank 10 whiskey shot 2 anoth show lyric commerci use 1409617854061,0,0,1,0
300,Pop/Rock,luke comb one delux edit long way six beer five guy rememb right wednesday got buzz secondhand six pack half smoke soft pack light boy take drag fought cough everyon els thought damn cool head spin like tiltawhirl yeah man realli rock world back thing seem littl bit stronger back weekend last littl bit longer cant tell thing seem never end back lyric commerci use 1409617854061,0,0,1,0
301,Country,thoma rhett life chang life chang wake colleg dorm yeah life pretti normal look date spring formal wasnt worri bout noth els major undecid notebook full bad song write never dream anyon els would like theyr sit walmart shelf aint funni life chang wake aint noth life chang cant stop hop train never know what gonna happen make plan hear god laugh life chang wouldnt chang world world oh wouldnt chang world world oh lyric commerci use 1409617854061,1,0,0,0
307,Country,thoma rhett life chang leav right street parti drown problem bacardi peopl still talk oh im im sorri babi could leav right ditch friend guy came get know aint loud alon old moonlit road two us could disappear say word get babi could leav right meet back like sound could could could leav right could lyric commerci use 1409617854061,1,0,0,0
314,Country,thoma rhett life chang grave your forev slice heaven side mississippi river babi your infin end come hell fire rain babi noth chang noth chang ooh ooh ooh ooh ooh good lord call home life may six feet deep ill still love ooh ooh babi got wont ever die cant take diamond cant take gold ill take love go im gonna take grave your destini youll alway lyric commerci use 1409617854061,1,0,0,0
320,Pop/Rock,shawn mend feat julia michael shawn mend like dont cri whatev make feel comfort im tire there nothin left say let call truce caus dont realli wanna go bed like im sorri still stuck middl im sorri caus moment dont know like dont know like im die could put shoe know like kiss caus im realli sure right want still mad lyric commerci use 1409617854061,0,0,1,0
331,Other,ciara level level five four three two one leggo watch level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi old mistak gone wont that old news there new news done turn noth someth comeback one hunnid less talk action gon see ci come keep elev loss upgrad lesson made bless turn money thank god never settl view much better im chill im win like anoth level oh talk want see stay pray noth im afraid five four three two one leggo watch lyric commerci use 1409617854061,0,1,0,0
343,Country,ann mari speak mind machin feel ach bodi id bone know air isnt breathabl good lung feel anger insid burn like sun chest got patienc selfcontrol god know im tri best machin id never worri know could alway press delet machin wouldnt affect violenc televis screen wouldnt heart couldnt break thing time couldnt wast would dream world could never bother machin oh oh oh oh machin oh lyric commerci use 1409617854061,1,0,0,0
346,Rap,kane brown kane brown delux edit hometown old mr jackson cut grass church tractor listen countri countdown rememb three cord session give lesson never guess wed go dive bar sold smile cant help grin turn dial fm here old friend cant believ aint yeah wanna make hometown proud make em turn loud roll window wanna make hometown proud gonna give em sound everybodi talk still old old southern boy still got old old southern voic sing wanna make hometown proud make hometown proud make hometown proud whine year lyric commerci use 1409617854061,0,0,0,1
348,Rap,kane brown kane brown delux edit thunder rain lip eye dont wanna let go skin mine im lose control hear rumbl chest feel wind comin breath curv aint slowin aint nothin gonna stop us your fire im lightnin burnin core fallin crashin girl perfect storm lyric commerci use 1409617854061,0,0,0,1
354,Rap,kane brown kane brown delux edit better place babi dream forti acr hous porch go way around imma buy youd rather see citi light crowd imma move uptown dont matter nah dont girl babi see livin anywher til sky fall good lord call us your girl wanna love til im push daisi wanna stare green eye babi til handinhand walk street gold six feet know im gonna make world better place lyric commerci use 1409617854061,0,0,0,1
357,Rap,kane brown kane brown delux edit what mine wasnt realli look caught eye anoth town anoth night didnt say much scare life didnt catch number didnt know name tri move couldnt help think knew youd chang everyth what mine everi breath take everi choic make might sound crazi pain wash away blink eye yeah save got dont need anymor what mine what mine what mine lyric commerci use 1409617854061,0,0,0,1
362,Pop/Rock,panic disco pray wick hey look made life hustl tonight apprais caus im hooker sell song pimp record label world full demon stock bond bibl traitor deed get leav climber sadist yeah readi sequel aint readi latest garden evil im gonna greatest golden cathedr ill pray faithless lose boohoo hey look made hey look made everyth come ace ace dream dont wake dont wake said hey look made lyric commerci use 1409617854061,0,0,1,0
