,explicit,body_text_clean,explicit text
17,1,tyga feat offset tast slide pimp game pinki rang lotta gang lotta bitch ici chain claim rich that fals claim straight whip baggag claim whole lotta style cant even pronounc name aint got style see instagram rockin like fresh pan im takin pic im middleman walk talk like boss lift hand 3 million cash call rain man money like shower that rain danc black like gangland say wrong word hangman watch stick bitch like spray tan aw mr kind car citi love name nigga aint gotta say tast tast get tast tast tast get tast tast tast fuck nigga say like maryk tast tast get tast tast tast let get tast tast tast love tast yeah that cool aint like lotta girl like nigga wanna fight nigga get yo ass check like fuckin nike icey that unlik lyric commerci use 1409617854061,yes
18,0,imagin dragon whatev take fall fast prepar trip world could danger everybodi circl vultur neg nepotist everybodi wait fall man everybodi pray end time everybodi hope could one born run born whip whip run like race hors hold like rip cord break build wanna slip slip word upon lip lip letter rip rip break build whatev take caus love adrenalin vein whatev take caus love feel break chain whatev take ya take top im readi whatev take lyric commerci use 1409617854061,no
19,0,dan shay tequila still shut parti hang anybodi drink whiskey red wine champagn night littl scotch rock im fine im fine tast tequila babi still see ya cut floor soror tshirt one wore sky high colorado lip press bottl swear bibl babi id never leav ya rememb bad need ya tast tequila tast tequila lyric commerci use 1409617854061,no
20,1,chainsmok feat emili warren side effect 4am dont know go everywher close go home yeah feet take front door know shouldnt though heaven know ooh side effect loneli oh your want good give come give love tonight oh your want good give come give love tonight happen everi time tri mix decis make one mani drink ooh late night friend consequ cool yeah oh your want lyric commerci use 1409617854061,yes
21,1,camila cabello feat young thug havana hey havana ooh nana ayi half heart havana ooh nana ayi ayi took back east atlanta nanana ah heart havana ayi there somethin bout manner uh huh havana ooh nana uh didnt walk doin uh came room said there lot girl uh cant without knew forev minut hey summer night june papa say got malo uh got feelin like ooh oohoohoohoohoohoohooh ayi knew met ayi love left got feelin like ooh oohoohoohoohoohoohooh tell go oh nanananana woo havana ooh nana ayi ayi half heart havana ooh nana ayi ayi lyric commerci use 1409617854061,yes
22,0,ariana grand tear left cri right im state mind wanna like time aint got tear left cri im pickin pickin im lovin im livin im pickin im pickin pickin im lovin im livin im pickin im pickin pickin lovin im livin turnin yeah turnin aint got tear bodi ran boy like like like dont matter tri vibin vibin vibin comin even rainin cant stop cant stop shut mouth shut mouth dont know know babe know babe yeah right im state mind wanna like time aint got tear left cri lyric commerci use 1409617854061,no
23,0,luke bryan sunris sunburn sunset daddi lakehous paint summer sophomor year said could stay free coupl buddi coupl week rode littl red honda head straight pier tank top cutoff jean littl back sun underneath knew bout sunris sunburn sunset repeat moonlight night crash noth ever easi tangl nowher sunris sunburn sunset repeat sunris sunburn sunset repeat ayi turn shutter color eye lyric commerci use 1409617854061,no
24,0,ed sheeran perfect found love oh darl dive right follow lead well found girl beauti sweet oh never knew someon wait caus kid fell love know give time darl kiss slow heart eye your hold mine babi im danc dark arm barefoot grass listen favourit song said look mess whisper underneath breath lyric commerci use 1409617854061,no
25,1,onerepubl connect day wave get lost ocean seven billion swimmer man im go motion sent flare need love devot trade face never know notion mayb tri find old take place peopl know tryna disconnect think mayb could show there mani peopl lone get connect get get connect lone get connect get get connect real friend good friend hard find let face lyric commerci use 1409617854061,yes
26,0,selena gomez back took like shot thought could chase cold even let coupl year water im feel everi time talk everi singl word build moment gotta convinc dont want even though could break heart two heal beat know forward true wanna hold im suppos im lie close someon els your stuck head cant get could know id go back know id go back know id go back never got right play replay old convers lyric commerci use 1409617854061,no
27,1,post malon feat ty dolla ign psycho damn ap goin psycho lil mama bad like michael cant realli trust nobodi jewelri roof look like noshow got diamond boatload come toni romo clown bozo ap goin psycho lil mama bad like michael cant realli trust nobodi jewelri roof look like noshow got diamond boatload dont act like friend im rollin end though stuck friend zone tell fourfiv fifth ayi hunnid band insid short dechino shit ayi tri stuff dont even fit ayi know shit ever sinc jit ayi made first million im like shit ayi 30 walkthrough man bitch lit ayi mani bottl gave ugli girl sip window benzo get seen rent im like whoa man neck goddamn cold diamond wet tshirt soak lyric commerci use 1409617854061,yes
28,0,ariana grand god woman love move love touch one said done youll believ god woman feel midnight feel cant fight one linger done youll believ god woman dont wanna wast time yuh aint got onetrack mind yuh way like yuh tell know know want aint nobodi els relat boy like aint afraid babi lay let pray im tell way like want yuh thing tell yuh tri come keep flourish yuh see univers im compani uh lyric commerci use 1409617854061,no
29,0,foster peopl sit next yeah im circl vultur got pray longer feel someth rotten last time saw said what push right tri catch alway move sober symptom clouttur night aint get younger last call around corner feel kinda tempt im pour truth fade talk caus want im say come sit next see thing go natur lyric commerci use 1409617854061,no
30,0,imagin dragon thunder young gun quick fuse uptight wanna let loos dream bigger thing wanna leav life behind ye sir follow fit box fit mold seat foyer take number lightn thunder thunder thunder thunder thun thunder thunthunthund thunder thunder thunder thun thunder thunthunthund thunder thunder feel thunder lightn thunder thunder feel thunder lightn thunder thunder thunder thunder lyric commerci use 1409617854061,no
31,0,bebe rexha feat florida georgia line meant babi lay back relax kick pretti feet dash need go nowher fast let enjoy right know road suppos lead got nothin time long your right next everyth gonna alright meant itll itll babi let meant itll itll babi let wont ride ride see thing goe meant itll itll babi meant dont meant uptight lyric commerci use 1409617854061,no
32,0,zedd feat maren morri grey middl take seat right sat stair stay leav cabinet bare im unawar got mess got aggress know meant good intent pull closer dont pull close dont come cant let go oh babi dont meet middl im lose mind littl dont meet middl middl babi dont meet middl im lose mind littl dont meet middl lyric commerci use 1409617854061,no
33,1,logic feat ryan tedder one day mayb one day ill wiser caus mayb one day ill put faith tomorrow dark day keep night thing know gonna alright ever wonder mean make mean final obtain dream come run world mani fiend sinc teen get money get cream hard work sacrific lot know mean rapper aint got class like bomb threat bein ill diseas onset dont matter white black rich poor gon alway want one thing sure long got floor ima use power paint pictur uniti yeah im rippin energi like two fuck light camera right one day one day ill richer one day one day im gon enough money buy store one day one day like sinatra said know im finna way lyric commerci use 1409617854061,yes
34,0,luke comb beauti crazi day start coffe end wine take forev get readi she never time anyth get come get look eye well kinda scare way drive wild drive wild beauti crazi cant help amaz way danc aint afraid take chanc lyric commerci use 1409617854061,no
35,0,ella mai bood yeah yeah yeah yeah feel deep feel aint realli like cant control anxieti feel like im touch ceil im cant breath boy someth ooh ill never get find someth new get high like yeah yeah ooh ill never get find someth new get high like listen heart go badum bood biddydadum bood hear heart go badum bood biddydadum wont stop go badum bood biddydadum bood hear heart go badum bood biddydadum wont stop go mani way say need babi true think might die without lyric commerci use 1409617854061,no
36,0,thoma rhett life chang wake colleg dorm yeah life pretti normal look date spring formal wasnt worri bout noth els major undecid notebook full bad song write never dream anyon els would like theyr sit walmart shelf aint funni life chang wake aint noth life chang cant stop hop train never know what gonna happen make plan hear god laugh life chang wouldnt chang world world oh wouldnt chang world world oh lyric commerci use 1409617854061,no
37,0,calvin harri feat dua lipa one kiss one kiss take fall love possibl look like need let take night love real easi know youll still wanna see sunday morn music real loud let love moon still someth youoohooh lit heaven meee feel wont let sleeeeep caus im lost way move way feel one kiss take fall love possibl look like need one kiss take fall love possibl look like need lyric commerci use 1409617854061,no
38,0,shawn mend blood help like wall cave sometim feel like give cant isnt blood lay bathroom floor feel noth im overwhelm insecur give someth could take eas mind slowli drink youll feel better take home youll feel better keep tell get better ever help like wall cave sometim feel like give medicin strong enough lyric commerci use 1409617854061,no
39,0,david guetta feat annemari dont leav alon dont want lie honest right your sit chest dont know id without comfort realli go first realli left dont know would aliv today without like night day read repeat everi convers everi day saturday everi sunday got pray dont ever leav dont ever go ive seen tv know goe even your angri even im cold dont ever leav dont leav alon dont leav ah alon ah ah ah alon lyric commerci use 1409617854061,no
40,0,ciara level five four three two one leggo watch level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi level level level level level level level level level level yummi sauc yummi know want yummi yummi tummi old mistak gone wont that old news there new news done turn noth someth comeback one hunnid less talk action gon see ci come keep elev loss upgrad lesson made bless turn money thank god never settl view much better im chill im win like anoth level oh talk want see stay pray noth im afraid five four three two one leggo watch lyric commerci use 1409617854061,no
41,1,marshmello feat annemari friend ooohoh ooohwoh ooohoh ooohwoh say love say crazi noth friend your lover like brother know sinc like ten yeah dont mess talk shit gonna push away that say love make crazi go dont go look look eye realli aint go away without fight cant reason im done polit ive told one two three four five six thousand time havent made obviou havent made clear want spell f r e n havent made obviou havent made clear want spell f r e n f r e n lyric commerci use 1409617854061,yes
42,0,kenni chesney feat mindi smith better boat aint lone spend lot time alon id like im okay stay home last month chang smile mourn despit pain breath breath got friend call let talk aint work what still hurtin thing feel like cuss let go around wave cant control lyric commerci use 1409617854061,no
43,0,kane brown heaven perfect come kiss one time couldnt dream even tri moment feel like magic im right wanna everybodi talk heaven like cant wait go say gonna good beauti lie next bed aint convinc caus dont know dont know heaven heaven lyric commerci use 1409617854061,no
44,1,panic disco high hope high high hope live shoot star couldnt make kill didnt dime alway vision alway high high hope high high hope live didnt know alway feel gonna one million alway high high hope mama said fulfil propheci someth great go make legaci manifest destini back day want everyth want everyth mama said burn biographi rewrit histori light wildest dream museum victori everyday want everyth want everyth lyric commerci use 1409617854061,yes
45,1,eric church desper man ive seen joshua tree got knee virgin mother pray ive walk glass barefoot stroll cross devil hot coal ive tri everyth swear oh hey say im desper man said hey say im desper man poo poo poopoopoopoopoo fortun teller told last chanc got futur oh aint listenin blackheart gypsi lyric commerci use 1409617854061,yes
46,0,bad wolv zombi anoth head hang lowli child slowli taken violenc caus silenc mistaken see famili head head fight tank bomb bomb drone head head cri what head head zombi zombi zombieiei lyric commerci use 1409617854061,no
47,1,bazzi mine huh yeah naw dont know babi bit much hennessi gonna tell feel look fuck preciou smile smile yeah hit back drive wild wild oh yeah girl lose eye eye eye eye eye let know your mine mine hand bodi dont wanna wast time time lyric commerci use 1409617854061,yes
48,0,backstreet boy dont go break heart got mix emot final find river could lead ocean caus ive ever known kind love leav batter broken forgiv mix emot yeah yeah im kind person fall love that love suppos im kind person fall love that love suppos babi dont go break heart break heart babi dont go break heart break heart caus one got caus one got open lyric commerci use 1409617854061,no
49,0,chri stapleton tennesse whiskey use spend night barroom liquor love ive known rescu reachin bottom brought back far gone your smooth tennesse whiskey your sweet strawberri wine your warm glass brandi honey stay stone love time ive look love old place lyric commerci use 1409617854061,no
50,0,morgan wallen feat florida georgia line friday five got time went ahead wet line fore went lost mind aint long bobber pond go tonight gonna rais whole lot cain caus there money bank tomorrow saturday pass fifth jack way turn hold bfe still roll around burnt cd free bird five minut deep head bob got got dont need rest turn park lot parti lyric commerci use 1409617854061,no
51,0,jason aldean make easi like raini sunday morn make want stay bed twist day long your inspir girl take place put word right song steal kiss cover babe see forev see face swear god made make easi lovin make easi everi littl thing your sunshin darkest day better half save grace lyric commerci use 1409617854061,no
52,0,mitchel tenpenni drunk peopl dont know quit that quit need hit bottom see got problem cant handl that aint start clean life well would lie ive sober caus aint hangov like babi come ill alway find word bottom hundr proof girl everi time stand get mess like sheet made love ive sober sinc youv broke heart two caus drunk cant get lyric commerci use 1409617854061,no
53,1,matoma feat enriqu iglesia konshen dont danc without feat konshen yeah oh yeah hey girl babi like way move babi dont stop yeah yeah know came girl dont danc without know came music music know came lose oh yeah got girl dont danc without last night got drunk last night fell love realli like girl surpris got open mind wanna cross line know ill ill tell want tell want tell need tell need ill give everyth got yeah like way move way move babi dont stop oh woah lyric commerci use 1409617854061,yes
54,1,xxxtentacion sad someon that afraid let go uh decid your ever gonna let know yeah suicid ever tri let go uh im sad know yeah im sad know yeah someon that afraid let go uh decid your ever gonna let know yeah suicid ever tri let go uh im sad know yeah im sad know yeah gave everyth took heart left lone think broken heart contenti lyric commerci use 1409617854061,yes
55,0,totò africa hear drum echo tonight hear whisper quiet convers she come 1230 flight moonlit wing reflect star guid toward salvat stop old man along way hope find old forgotten word ancient melodi turn say hurri boy wait gonna take lot drag away there noth hundr men could ever bless rain africa lyric commerci use 1409617854061,no
56,0,imagin dragon believ first thing first imma say word insid head im fire tire way thing ohooh way thing ohooh second thing second dont tell think im one sail im master sea ohooh master sea ohooh broken young age take sulk mass write poem look took shook feel sing heart ach pain take messag vein speak lesson brain see beauti pain made made believ believ pain break build believ believ pain lyric commerci use 1409617854061,no
57,0,jason mraz may auspici caus success may confid alway best may take effort gener share noth noth less may know mean word happi may alway lead beat chest may treat like esteem guest may get rest may catch breath may best today worst tomorrow woaoh may road less pave road follow woaoh well here heart gonna break here live gonna chang here infinit possibl way love want here good time gonna dont need money youv got free pass here fact ill sad without want want want want lyric commerci use 1409617854061,no
58,1,lauv like better young love new york citi know still know im good long your drunk love new york citi midnight morn coffe burn hour talk damn like better im like better im knew first time id stay long time caus like better like better im dont know got feel lyric commerci use 1409617854061,yes
59,0,keala settl feat greatest showman ensembl stranger dark hide away say caus dont want broken part ive learn asham scar run away say onel love wont let break dust know there place us gloriou sharpest word wanna cut im gonna send flood gonna drown brave bruis im meant look caus come im march beat drum im scare seen make apolog ohohohoh ohohohoh ohohohoh ohohohoh ohohoh ohohoh ohohoh oh oh anoth round bullet hit skin lyric commerci use 1409617854061,no
60,0,bebe rexha im mess everyth mess late pretti sure dont wanna babi oh dont love dont love dont love dont love that okay caus love yeah love yeah love yeah love anyway heu everyth gonna alright everyth gonna okay gonna good good life that therapist say everyth gonna alright everyth gonna fine gonna good good life im mess im loser im hater im user im mess love aint im obsess im embarrass dont trust one around us im mess love aint wooooooooooo lyric commerci use 1409617854061,no
61,0,lovelytheband broken like your broken broken like mayb make fool like your lone lone like could lone met late night parti trust fund babi brooklyn loft bathroom said let talk confid wear well arent peopl arent friend grab face that said like your broken broken like mayb make fool lyric commerci use 1409617854061,no
62,0,david lee murphi kenni chesney everyth gonna alright rattl ice plastic cup said ye mam fill tell someth good dont know caus world kick behind life aint friend mine late ive feel kinda low look back shoulder point sign hang wall said everyth gonna alright everyth gonna alright nobodi gotta worri bout noth dont go hittin panic button aint worth spill drink everyth gonna alright alright alright lyric commerci use 1409617854061,no
63,0,old dominion hotel key well street couldnt even pronounc smoke littl half ounc tequila cheap flow feel real neither one us look three littl word unless three word disturb checkout suppos noon slept til three kept hotel key slip purs guess make think night left heart sleev cloth floor cant open door kept hotel key well could still see bed sit indian style tshirt half drunk smile talk austin shed get back someday curtain wide open song phone danc tv never turn wonder would anyon miss us ran away isnt one stori end way lyric commerci use 1409617854061,no
64,0,king countri joy late ive read watch nightli news dont seem find rhythm wanna sing blue feel like song never stop feel like never gonna gotta get fire fire back bone heart heart turn stone somebodi pleas pass megaphon ill shout count three one two three oh hear prayer tonight im sing sky give strength rais voic let testifi oh hear prayer tonight caus die time come make choic choos joy let move let move let move yeah choos joy let move let move let move yeaheh back young eye full life lyric commerci use 1409617854061,no
65,0,kane brown lose littl ring buzz good noth phone hand direct parti that start cover band old school radio station let drive fade girl let lose tonight caus thing right flip hair babi swear dont think know your got heart skipskip beat tonight close enough til there space let lose way your danc sway music girl bodi move everi time cross mind girl lose yeah lose ugh lyric commerci use 1409617854061,no
66,0,clean bandit feat demi lovato solo itsolo solo everybodi itsolo eeeverybodi itsolo solo everybodi woop woop woop woop woop woop woop never meant leav hurtin never meant worst thing ssolo solo everybodi caus everi time read messag wish wasnt one exe im fool ssolo solo everybodi sinc gone danc there boy zone cant turn caus babi your one im come cant take wanna fwoopwoopwoop im broken heart crcrcri like parti tttouch got nobodi wanna fwoopwoopwoop im broken heart crcrcri sinc day part tttouch got nobodi solo itsolo solo everybodi itsolo eeeverybodi itsolo solo everybodi lyric commerci use 1409617854061,no
67,0,camila cabello never someth mustv gone wrong brain got chemic vein feel high feel pain let go wheel bullet lane im see red think straight blur line intox like nicotin heroin morphin suddenli im fiend your need need yeah your need babe im sucker way move babe could tri run would useless your blame one hit knew ill never babe im sucker way move babe could tri run would useless your blame one hit knew ill never ever ever lyric commerci use 1409617854061,no
68,1,sublim rome wick heart run away run away need time figur wide awak wide awak see sign slow oh yeah wake morn think night everi drink pour start anoth fight hazard health everi time everi time knew nobodi could hurt like stuck dark like voodoo go make mark yeah imma love afar bless wick heart na na na na know mean harm babi bless wick heart na na na na im gonna love afar babi bless wick heart na na na na know mean harm babi bless wick heart na na na na dont know home lyric commerci use 1409617854061,yes
69,0,sugarland feat taylor swift babe shame didnt wanna one got away yeah big mistak broke sweetest promis never made im kitchen floor call wont hear said one els could babe realli blew babe aint get one babe last time ill ever call babe last time last time last time ill ever call babe wast take pictur lyric commerci use 1409617854061,no
70,1,lil babi drake ye inde yeah wheezi outta dash digi schedul busi head hoodi shorti goodi cousin crazi cousin like boogi life amazin ten feel like rooki tell look caus snowin tootsi book three year man cant even book lil babi shit goin crazi wheezi produc weezi f made held got merced young money record armi navi ran ten thousand threw like bradi foreign yellow like trace kd trust nigga never betray met nigga sweeter sadi lyric commerci use 1409617854061,yes
71,0,kygo feat imagin dragon born know ive given hundr time know miracl someth ignor take fool take fool never knew anybodi til knew youou never knew anybodi til knew youou know rain oh pour know born never knew anybodi til knew youou never knew anybodi til knew youou know rain oh pour know born lyric commerci use 1409617854061,no
72,0,denni lloyd nevermind left made sens tell friend hold hand babi nevermind nevermind nevermind nevermind nevermind nevermind nevermind nevermind left made sens tell friend hold hand babi never mind never mind nevermind nevermind nevermind nevermind nevermind nevermind alright im readi readi aint gonna aint gonna fall back alright ill take take take mh babi ever ask ever ask gonna gonna lover tonight take take take left made sens tell friend hold hand babi nevermind nevermind nevermind nevermind nevermind nevermind nevermind nevermind left made sens tell friend hold hand babi nevermind nevermind nevermind nevermind lyric commerci use 1409617854061,no
73,0,twenti one pilot jumpsuit cover cant believ much hate pressur new place roll way jumpsuit jumpsuit cover jumpsuit jumpsuit cover crumbl underneath weight pressur new place roll way jumpsuit jumpsuit cover jumpsuit jumpsuit cover spirit room friend foe felt youth feel im old lyric commerci use 1409617854061,no
74,1,chri janson drunk girl coupl cover charg stamp got hand look like rainbow everi bar whim like wind blow she either bachelorett come breakup take drunk girl home she bounc like pinbal sing everi word never knew danc eye close like she one room here perfect mess fall dress take drunk girl home take drunk girl home let sleep alon leav key counter number phone pick life threw floor lyric commerci use 1409617854061,yes
75,0,luke comb got best seventeen dont think much life live like kerosen danc around fire your jump right aint afraid fall give got best broke heart that left beat guitar everi night differ sound follow around get what left yeah get what left lyric commerci use 1409617854061,no
76,0,dan shay speechless say youll 5 smell perfum float stair your fix hair like know ill mess second see wont surpris happen everi time noth alway night like tonight think read mind caus look eye im speechless stare stand dress aint secret caus watch im speechless alreadi know your weak lyric commerci use 1409617854061,no
77,1,yg feat 2 chainz big sean nicki minaj big bank feat 2 chainz big sean nicki minaj bitch drive white rang couldnt hit nigga aim lame cant call lame lost hall shame buy bentley dont talk show 150 dont talk aint never help man dont talk follow trend dont talk set bar im fuckin bar sky im fuckin star dont fall love caus lovin hard everyth like shirt extra larg dont care crash ghost got two crib two state got white folk money wont blow ask caus white folk dont big bank take lil bank bank big bank take lil bank bank type money gon need safe type money gon need bank hood type money make stay awak type money gon let put face big bank take lil bank bank big bank take lil bank bank everyth proper propaganda choppa count goyard bandana big sack lotta hoe like santa threw birthday parti phantom big shit like dinosaur know titi shinin like acryl yeah sold dope cornrow see nigga hang door close lyric commerci use 1409617854061,yes
78,0,benni blanco feat halsey khalid eastsid uh yeah yeah young fell love use hold hand man enough yeah grew start touch use kiss underneath light back bu yeah oh daddi didnt like much didnt believ said one oh everi day found way window sneak late use meet eastsid citi sun dont set everi day know ride backstreet blue corvett babi know wanna leav tonight go anywher want drive coast jump seat take hand come anyth put mind take whole life put line lyric commerci use 1409617854061,no
79,0,justin timberlak cant stop feel got feel insid bone goe electr wavey turn citi home fli ceil zone got sunshin pocket got good song feet feel hot blood bodi drop cant take eye move phenomen gone like way rock dont stop light everyth goe nowher hide im get close move well alreadi know imagin imagin imagin noth see danc danc danc feel good good creep danc danc danc come thing danc danc danc aint nobodi leav soon keep danc cant stop feel danc danc danc cant stop feel danc danc danc come ooh someth magic lyric commerci use 1409617854061,no
80,0,kygo miguel remind forget never fade away stayin kiss like broken glass skin greatest love end violenc tear voic left silenc babi hit hard hold onto chest mayb left mark remind forget doesnt matter keep regret caus babi got scar remind forget remind got scar get love keep remind ooh forget love left mark heart left mark remind forget lyric commerci use 1409617854061,no
81,1,carter apeshit yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah stack money fast go fast fast go fast like lambo skrrt skrrt skrrt jumpin stage ho jumpin jumpin hey hey crowd better savor crowd goin ape hey cant believ made made made thank thank thank cant believ made differ angl ever seen crowd goin apeshit rah gimm check put respeck check pay equiti pay equiti watch revers debt skrrt got bad bitch bad bitch livin lavish lavish got expens fabric got expens habit wanna go go like roll weed roll weed wanna wanna give vitamin ice ornament ici style tournament woo aint dont think yeah yeah yeah yeah yeah yeah bought jet yeah yeah yeah yeah yeah yeah shut colett yeah yeah yeah yeah yeah yeah phillipp patek yeah yeah yeah yeah yeah yeah get dick uh hey gimm ball gimm ball take top shift ball call girl put em spaceship brr hang one night yoncé ill make famou hey lyric commerci use 1409617854061,yes
82,0,lili jame feat jessica keenan wynn alexa davi mamma mia cheat think know made mind must come end look ever learn dont know suddenli lose control there fire within soul one look hear bell ring one look forget everyth mamma mia go resist mamma mia show much ive miss lyric commerci use 1409617854061,no
83,0,panic disco say amen saturday night travel pack cant carri anymor wait somebodi els carri there noth that left door peopl know arent use tri chang life one day would nobodi els save cant chang person dont wanna oh saturday night yeah pray wick weekend mama get anoth amen oh oh saturday night yeah swear god aint ever gonna repent mama get anoth amen oh oh saturday night yeah lyric commerci use 1409617854061,no
84,0,francesca battistelli breakup song sick tire sick tire much take im done afraid ive gone motion ive back forth know your think youv heard dont know say im gonna say fear dont aint room stori aint got time tell im like know well guess know know im strong free got ident fear never welcom lyric commerci use 1409617854061,no
